"Bay","Project","Site","Period","Season","Weight","Num_quads","CPUE_Weight","Roundwt","SP"
"Apalachicola","FWC-2021","Cat Point",13,"Summer",240.14,30,8.00466666666667,240,"Cat Point_FWC-2021"
"Apalachicola","FWC-2021","Cat Point",14,"Winter",202.03,30,6.73433333333333,202,"Cat Point_FWC-2021"
"Apalachicola","FWC-2021","Cat Point",15,"Summer",97.81,15,6.52066666666667,98,"Cat Point_FWC-2021"
"Apalachicola","FWC-2021","East Lumps",13,"Summer",193.59,30,6.453,194,"East Lumps_FWC-2021"
"Apalachicola","FWC-2021","East Lumps",14,"Winter",266.44,30,8.88133333333333,266,"East Lumps_FWC-2021"
"Apalachicola","FWC-2021","East Lumps",15,"Summer",129.1,15,8.60666666666667,129,"East Lumps_FWC-2021"
"Apalachicola","FWC-2021","Lighthouse Bar",13,"Summer",169.02,30,5.634,169,"Lighthouse Bar_FWC-2021"
"Apalachicola","FWC-2021","Lighthouse Bar",14,"Winter",306.54,30,10.218,307,"Lighthouse Bar_FWC-2021"
"Apalachicola","FWC-2021","Lighthouse Bar",15,"Summer",137.58,15,9.172,138,"Lighthouse Bar_FWC-2021"
"Apalachicola","GEBF-5007","8 Mile",13,"Summer",160.78,30,5.35933333333333,161,"8 Mile_GEBF-5007"
"Apalachicola","GEBF-5007","8 Mile",7,"Summer",120.58,30,4.01933333333333,121,"8 Mile_GEBF-5007"
"Apalachicola","GEBF-5007","8 Mile",9,"Summer",83.08,30,2.76933333333333,83,"8 Mile_GEBF-5007"
"Apalachicola","GEBF-5007","9 Mile B",13,"Summer",1.09,15,0.0726666666666667,1,"9 Mile B_GEBF-5007"
"Apalachicola","GEBF-5007","9 Mile B",7,"Summer",0.31,5,0.062,0,"9 Mile B_GEBF-5007"
"Apalachicola","GEBF-5007","9 Mile B",9,"Summer",0,25,0,0,"9 Mile B_GEBF-5007"
"Apalachicola","GEBF-5007","Bulkhead",13,"Summer",108.11,15,7.20733333333333,108,"Bulkhead_GEBF-5007"
"Apalachicola","GEBF-5007","Bulkhead",7,"Summer",106.48,15,7.09866666666667,106,"Bulkhead_GEBF-5007"
"Apalachicola","GEBF-5007","Bulkhead",9,"Summer",94.43,15,6.29533333333333,94,"Bulkhead_GEBF-5007"
"Apalachicola","GEBF-5007","Cabbage Top",12,"Winter",107.47,15,7.16466666666667,107,"Cabbage Top_GEBF-5007"
