"Bay","Project","Site","Period","Wt_sum","Spat_sum","Num_quads","Roundwt"
"Apalachicola","GEBF-5007","8 Mile",13,160.78,68,30,161
"Apalachicola","GEBF-5007","8 Mile",7,120.58,0,30,121
"Apalachicola","GEBF-5007","8 Mile",9,83.08,28,30,83
"Apalachicola","GEBF-5007","9 Mile B",13,1.09,0,15,1
"Apalachicola","GEBF-5007","9 Mile B",7,0.31,29,5,0
"Apalachicola","GEBF-5007","9 Mile B",9,0,0,25,0
"Apalachicola","GEBF-5007","Bulkhead",13,108.11,114,15,108
"Apalachicola","GEBF-5007","Bulkhead",7,106.48,619,15,106
"Apalachicola","GEBF-5007","Bulkhead",9,94.43,749,15,94
"Apalachicola","GEBF-5007","Cabbage Top",12,107.47,454,15,107
"Apalachicola","GEBF-5007","Cabbage Top",7,88.25,201,15,88
"Apalachicola","GEBF-5007","Cabbage Top",9,122.99,167,15,123
"Apalachicola","GEBF-5007","Cat Point Spur",13,177.67,912,30,178
"Apalachicola","GEBF-5007","Cat Point Spur",7,124.62,2486,30,125
"Apalachicola","GEBF-5007","Cat Point Spur",9,229.89,2176,30,230
"Apalachicola","GEBF-5007","Cat Point",13,245.36,1159,45,245
"Apalachicola","GEBF-5007","Cat Point",7,173.28,978,45,173
"Apalachicola","GEBF-5007","Cat Point",9,214.85,1933,45,215
"Apalachicola","GEBF-5007","East Hole",13,446.82,1483,90,447
"Apalachicola","GEBF-5007","East Hole",7,466.12,5286,90,466
"Apalachicola","GEBF-5007","East Hole",9,433.66,2527,90,434
"Apalachicola","GEBF-5007","Hotel Bar",12,308.19,4132,45,308
"Apalachicola","GEBF-5007","Hotel Bar",7,172.59,3983,45,173
"Apalachicola","GEBF-5007","Hotel Bar",9,219.24,1854,45,219
"Apalachicola","GEBF-5007","King 9 Mile",13,66.95,39,15,67
"Apalachicola","GEBF-5007","King 9 Mile",7,15.09,0,15,15
"Apalachicola","GEBF-5007","King 9 Mile",9,29.09,19,15,29
"Apalachicola","GEBF-5007","Monkeys Elbow",13,141.85,128,30,142
"Apalachicola","GEBF-5007","Monkeys Elbow",7,139.21,1037,30,139
"Apalachicola","GEBF-5007","Monkeys Elbow",9,190.55,1409,30,191
"Apalachicola","GEBF-5007","North Spur",12,168.28,445,30,168
"Apalachicola","GEBF-5007","North Spur",7,177.46,1247,30,177
"Apalachicola","GEBF-5007","North Spur",9,190.57,146,30,191
"Apalachicola","GEBF-5007","Peanut Ridge",13,162.73,563,30,163
