"Period","Project","Site","Sum_spat","Num_quads","Sum_Seed","Sum_legal","CPUE_Spat","CPUE_Seed","CPUE_Legal","Lowdays_12","lag1","Lowdays_6","lag1_6"
2,"NFWF-1","Hotel Bar",77693,119,20661,11,652.882352941176,173.621848739496,0.092436974789916,22,114,0,0
2,"NFWF-1","Dry Bar",30195,119,8021,2,253.739495798319,67.4033613445378,0.0168067226890756,22,114,0,0
2,"NFWF-1","Bulkhead",69072,120,18359,5,575.6,152.991666666667,0.0416666666666667,22,114,0,0
3,"NFWF-1","Bulkhead",4397,120,7126,0,36.6416666666667,59.3833333333333,0,123,22,26,0
3,"NFWF-1","Dry Bar",2062,120,3348,0,17.1833333333333,27.9,0,123,22,26,0
3,"NFWF-1","Hotel Bar",9778,120,15862,0,81.4833333333333,132.183333333333,0,123,22,26,0
3,"NRDA-4044","Dry Bar",32,5,3,0,6.4,0.6,0,123,22,26,0
4,"NFWF-1","Hotel Bar",30836,120,3154,0,256.966666666667,26.2833333333333,0,85,123,63,26
4,"NFWF-1","Bulkhead",36296,120,3712,0,302.466666666667,30.9333333333333,0,85,123,63,26
4,"NFWF-1","Dry Bar",3613,120,365,0,30.1083333333333,3.04166666666667,0,85,123,63,26
5,"NRDA-4044","Normans Bar",683,60,632,15,11.3833333333333,10.5333333333333,0.25,76,85,3,63
5,"NRDA-4044","Lighthouse Bar",1022,30,265,29,34.0666666666667,8.83333333333333,0.966666666666667,76,85,3,63
5,"NFWF-1","Dry Bar",426,120,79,12,3.55,0.658333333333333,0.1,76,85,3,63
5,"NFWF-1","Hotel Bar",9465,120,1868,347,78.875,15.5666666666667,2.89166666666667,76,85,3,63
5,"NRDA-4044","North Spur",2,15,1,0,0.133333333333333,0.0666666666666667,0,76,85,3,63
5,"NRDA-4044","Redfish Creek",255,45,166,34,5.66666666666667,3.68888888888889,0.755555555555556,76,85,3,63
5,"NRDA-4044","Little Gully",37,30,2,0,1.23333333333333,0.0666666666666667,0,76,85,3,63
5,"NFWF-1","Bulkhead",16263,120,3209,593,135.525,26.7416666666667,4.94166666666667,76,85,3,63
5,"NRDA-4044","Cabbage Top",33,30,15,15,1.1,0.5,0.5,76,85,3,63
5,"NRDA-4044","Cat Point",466,30,1198,52,15.5333333333333,39.9333333333333,1.73333333333333,76,85,3,63
5,"NRDA-4044","Hotel Bar",1971,45,86,0,43.8,1.91111111111111,0,76,85,3,63
5,"NRDA-4044","Cabbage Lumps",76,15,38,4,5.06666666666667,2.53333333333333,0.266666666666667,76,85,3,63
5,"NRDA-4044","Eleven Mile",2,30,0,0,0.0666666666666667,0,0,76,85,3,63
5,"NRDA-4044","Green Point",3,15,0,0,0.2,0,0,76,85,3,63
5,"NRDA-4044","Bayou Flats",0,15,0,0,0,0,0,76,85,3,63
5,"NRDA-4044","Dry Bar",334,55,8,0,6.07272727272727,0.145454545454545,0,76,85,3,63
6,"NFWF-1","Dry Bar",2075,120,0,0,17.2916666666667,0,0,116,76,0,3
6,"NFWF-1","Hotel Bar",13372,120,62,0,111.433333333333,0.516666666666667,0,116,76,0,3
6,"NRDA-4044","Cat Point",1519,30,227,16,50.6333333333333,7.56666666666667,0.533333333333333,116,76,0,3
6,"NRDA-4044","Dry Bar",40,45,0,0,0.888888888888889,0,0,116,76,0,3
6,"NRDA-4044","North Spur",12,15,0,0,0.8,0,0,116,76,0,3
6,"NRDA-4044","Hotel Bar",2722,45,1,0,60.4888888888889,0.0222222222222222,0,116,76,0,3
6,"NRDA-4044","Lighthouse Bar",2483,30,180,4,82.7666666666667,6,0.133333333333333,116,76,0,3
6,"NRDA-4044","Eleven Mile",2,30,0,0,0.0666666666666667,0,0,116,76,0,3
6,"NRDA-4044","Redfish Creek",168,45,32,2,3.73333333333333,0.711111111111111,0.0444444444444444,116,76,0,3
6,"NRDA-4044","Cabbage Lumps",157,15,13,3,10.4666666666667,0.866666666666667,0.2,116,76,0,3
6,"NRDA-4044","Normans Bar",827,60,361,36,13.7833333333333,6.01666666666667,0.6,116,76,0,3
6,"NFWF-1","Bulkhead",24810,120,123,0,206.75,1.025,0,116,76,0,3
6,"NRDA-4044","Green Point",37,15,0,0,2.46666666666667,0,0,116,76,0,3
